minutes,CSDNAME,Population.sum
15,Whitchurch-Stouffville,24408
10,Aurora,34828
10,Markham,134835
5,Vaughan,31351
999,Georgina,19890
999,Markham,22427
5,Markham,33933
15,Aurora,30512
10,Richmond Hill,93170
5,King,1107
15,King,6827
999,King,14405
15,Newmarket,64104
15,Richmond Hill,93385
5,Aurora,2297
999,East Gwillimbury,27092
10,Whitchurch-Stouffville,28299
15,Vaughan,166904
10,Georgina,17037
10,East Gwillimbury,1378
10,King,6420
15,Markham,173886
5,Whitchurch-Stouffville,1155
5,Richmond Hill,31548
5,Georgina,998
15,East Gwillimbury,15457
999,,476
999,Whitchurch-Stouffville,4237
999,Vaughan,7751
10,Vaughan,151948
15,Georgina,14701
10,Newmarket,12400
999,Newmarket,17627
